repo	source_url	classification	linked_papers	paper_dois	paper_titles	skill_names	description	reusable_files
Coleliao/Spatial_OT	https://github.com/Coleliao/Spatial_OT	paper_analysis_code_candidate	S0054	10.1016/j.isci.2024.109009	Spatial and single-nucleus transcriptomics decoding the molecular landscape and cellular organization of avian optic tectum.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Spatial and Single Nucleus Transcriptomics Decoding the Molecular Landscape and Cellular Organization of Avian Optic Tectum	functions/Visualization.R | snRNA_analysis/fig4AB_single_nucleus_dOT_clustering.R | snRNA_analysis/fig4C_EXN_subclustering.R | snRNA_analysis/fig4D_birds_mouse_correlation.R | snRNA_analysis/fig4EF_DEG_GO_among_dOT_EXNs.R | snRNA_analysis/fig4H_EXN_deg_score_on_bin100Spatial.R | snRNA_analysis/figS5FGHI_INN_subclsustering.R | spatial_analysis/fig1BC_spGCN_bin100.py | spatial_analysis/fig1BC_spatial_visualization_mannaul_annotation.R | spatial_analysis/fig1D_correlation_analysis.R | spatial_analysis/fig1E_integrate_spatial_sections_bin100.R | spatial_analysis/fig2AB_differential_expression_analysis.R | spatial_analysis/fig2C_figS2_GO_layer_deg.R | spatial_analysis/fig2D_vlnplot_selected_deg.R | spatial_analysis/fig3A_cell_segmentation.py | spatial_analysis/fig3BCDE_cellbin_clustering.R | spatial_analysis/fig3FGH_SGP_cellbin_subclustering.R | spatial_analysis/figS3_neurotransmitter_moudle_score.R | spatial_analysis/h5_to_RDS.R | spatial_analysis/h5ad_to_h5.py
deepomicslab/SPIDER	https://github.com/deepomicslab/SPIDER	paper_analysis_code_candidate	S0383	10.1038/s41467-025-62988-0	Finding spatially variable ligand-receptor interactions with functional support from downstream genes.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		spider/SpatialDE2/__init__.py | spider/SpatialDE2/_internal/__init__.py | spider/SpatialDE2/_internal/distance_cache.py | spider/SpatialDE2/_internal/gpflow_helpers.py | spider/SpatialDE2/_internal/kernels.py | spider/SpatialDE2/_internal/models.py | spider/SpatialDE2/_internal/optimizer.py | spider/SpatialDE2/_internal/score_test.py | spider/SpatialDE2/_internal/sm_kernel.py | spider/SpatialDE2/_internal/svca.py | spider/SpatialDE2/_internal/tf_dataset.py | spider/SpatialDE2/_internal/util.py | spider/SpatialDE2/_internal/util_mixture.py | spider/SpatialDE2/aeh.py | spider/SpatialDE2/de_test.py | spider/SpatialDE2/dp_hmrf.py | spider/SpatialDE2/gaussian_process.py | spider/SpatialDE2/io.py | spider/SpatialDE2/svca.py | spider/visualization.py
QuKunLab/SPACEL	https://github.com/QuKunLab/SPACEL	paper_analysis_code_candidate	S0371;S0449	10.1038/s41467-023-43220-3;10.1186/s13059-024-03361-0	SPACEL: deep learning-based characterization of spatial transcriptome architectures.; Benchmarking clustering, alignment, and integration methods for spatial transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		SPACEL/Scube/alignment.py | SPACEL/Scube/plot.py | SPACEL/Scube/utils_3d.py | SPACEL/Spoint/spatial_simulation.py | docs/tutorials/Stereo-seq_Scube.ipynb
axelalmet/FlowSigAnalysis_2023	https://github.com/axelalmet/FlowSigAnalysis_2023	paper_analysis_code_candidate	S0392	10.1038/s41592-024-02380-w	Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	"Python and R code used to produce the analysis in Almet et al. (2023), ""Inferring pattern-driving intercellular flows from single-cell and spatial transcriptomics"""	analysis/analyse_chen22_mouse_embryo_E9.5_spatial_stereoseq.py | benchmarking/run_multinichenet_kang18_pbmcs.R | communication_inference/analyse_communication_in_burkhardt21_pancreatic_islets.R | communication_inference/analyse_communication_in_cortical_organoid_D18_vs_D35.R | communication_inference/analyse_communication_in_kang18_pbmcs.R | communication_inference/analyse_communication_in_liao20_covid_balfs.R | communication_inference/analyse_spatial_communication_in_chen2022_mouse_embryo_E9.5.py | communication_inference/cpdb/run_cpdb_kang18_ctrl.py | communication_inference/cpdb/run_cpdb_kang18_stim.py | synthetic_validation/data_generation/generate_data_for_shh_bmp4_dorsoventral_grn.py | synthetic_validation/flowsig_analysis/analyse_shh_bmp4_dorsoventral_grn_flow_accuracies.py | synthetic_validation/flowsig_analysis/analyse_shh_neural_grn_network_flow_accuracies.py | synthetic_validation/model_simulation/generate_data_for_shh_neural_grn_on_network.py | synthetic_validation/model_simulation/simulate_shh_bmp4_dorsoventral_grn_on_network.py | synthetic_validation/model_simulation/simulate_shh_neural_grn_on_network.py
JiekaiLab/Polyomino	https://github.com/JiekaiLab/Polyomino	paper_analysis_code_candidate	S0437	10.1101/gr.280532.125	Polyomino reconstructs spatial transcriptomic profiles with single-cell resolution via a region-allocation method.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Polyomino：Mapping cell locations via multi-layer regionalization constraints 	platform_guides/Stereo-seq_VisiumHD..ipynb | src/Polyomino/plotting/__init__.py | src/Polyomino/plotting/plot.py
SunXQlab/stMLnet-AnalysisCode	https://github.com/SunXQlab/stMLnet-AnalysisCode	paper_analysis_code_candidate	S0143	10.1101/gr.279857.124	Dissecting multilayer cell-cell communications with signaling feedback loops from spatial transcriptomics data.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs		apply_in_COVID19/s4_visiual_CCI.R | apply_in_scST/giotto_merfish_dataset/giotto_merfish_dataset_layer9/s4_visiual_CCI.R | apply_in_scST/giotto_seqfish_dataset/s4_visiual_CCI.R | apply_in_scST/seurat_slideseq2_dataset/s0_seurat_slideseq2_dataset.R | apply_in_scST/seurat_slideseq2_dataset/s1_runMLnet.R | apply_in_scST/seurat_slideseq2_dataset/s2_calculate_LRTG_activity.R | apply_in_scST/seurat_slideseq2_dataset/s3_calculate_LRTG_importance.R | apply_in_scST/seurat_slideseq2_dataset/s4_visiual_CCI.R | benchmark/OtherMethods/COMMOT/commot_main.py | benchmark/OtherMethods/NicheNet/NicheNet_main.R
BGI-Qingdao/GEM3D_toolkit	https://github.com/BGI-Qingdao/GEM3D_toolkit	analysis_or_method_code_candidate	S0096	10.1038/s41467-025-59070-0	An organ-wide spatiotemporal transcriptomic and cellular atlas of the regenerating zebrafish heart.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	A tool to use stereo-seq GEM and ssDNA to generate single-cell and 3D spatial resolved transtriptomics data	gem3dtk/apply_alignment.py | gem3dtk/get_xml_matrix.py | gem3dtk/prepare_alignment_image.py | gemRtk/STOmics_seurat.only_gem2rds.R | gemtk/apply_registration.py | gemtk/draw_heatmap.py | gemtk/prepare_registration_heatmap.py | gemtk/prepare_registration_ssdna.py | gemtk/second_registration.py
SunXQlab/stMLnet	https://github.com/SunXQlab/stMLnet	analysis_or_method_code_candidate	S0143	10.1101/gr.279857.124	Dissecting multilayer cell-cell communications with signaling feedback loops from spatial transcriptomics data.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	stMLnet: Dissecting spatial and multilayer cell-cell communications with stMLnet	R/run_cell_communication.R | R/visualize_cell_communication.R
1014723815/GF_SPF_cecum	https://github.com/1014723815/GF_SPF_cecum	analysis_or_method_code_candidate	S0053	10.1016/j.isci.2024.108941	Effects of flora deficiency on the structure and function of the large intestine.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		Spatial transcriptome.R | cell2location.py
Coleliao/visual_evo	https://github.com/Coleliao/visual_evo	analysis_or_method_code_candidate	S0055	10.1016/j.isci.2025.112128	Single-nucleus profiling decoding the subcortical visual pathway evolution of vertebrates.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Single-nucleus profiling decoding the subcortical visual pathway evolution of vertebrates	code/04.1. human data processing and visual hub comparison.R | code/04.2. correlation and deg overlap between human and birds.R
STOmics/SpatialID	https://github.com/STOmics/SpatialID	method_tool_with_examples	S0040;S0128	10.1016/j.crmeth.2025.101205;10.1093/bib/bbae250	stTransfer enables transfer of single-cell annotations to spatial transcriptomics with single-cell resolution.; Benchmarking mapping algorithms for cell-type annotating in mouse brain by integrating single-nucleus RNA-seq and Stereo-seq data.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	A cell typing method for spatially resolved transcriptomics via transfer learning and spatial embedding	spatialid/__init__.py | spatialid/dnn.py | spatialid/loader.py | spatialid/loss.py | spatialid/reader.py | spatialid/spatial.py | spatialid/trainer.py | spatialid/transfer.py
BGI-Qingdao/SpaGRN	https://github.com/BGI-Qingdao/SpaGRN	method_tool_with_examples	S0037	10.1016/j.cels.2025.101243	SpaGRN: Investigating spatially informed regulatory paths for spatially resolved transcriptomics data.	stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-publication-plotting	SpaGRN spatially informed regulatory network inference with Stereo-seq tutorials.	docs/source/content/01_Basic_Usage.rst | docs/source/Tutorials/stereo_seq_mouse_brain_hi-res.ipynb | docs/source/Tutorials/stereo_seq_mouse_brain_low-res.ipynb | src/spagrn/plot.py | src/spagrn/regulatory_network.py
Tang-Lab-super/PROST	https://github.com/Tang-Lab-super/PROST	method_tool_with_examples	S0374	10.1038/s41467-024-44835-w	PROST: quantitative identification of spatially variable genes and domain detection in spatial transcriptomics.	stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	PROST: A quantitative pattern recognition framework for spatial transcriptomics.	PROST/plot.py | test/Stereo-seq.ipynb
YangLabHKUST/UCS	https://github.com/YangLabHKUST/UCS	method_tool_with_examples	S0351	10.1002/smtd.202400975	UCS: A Unified Approach to Cell Segmentation for Subcellular Spatial Transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	"Code for ""UCS: a unified approach to cell segmentation for subcellular spatial transcriptomics"""	downstream/visualize/vizgen_mouse_brain.ipynb | downstream/visualize/xenium_breast_cancer.ipynb
Teichlab/bin2cell	https://github.com/Teichlab/bin2cell	low_signal_or_unclear	S0382	10.1038/s41467-025-62593-1	Thor: a platform for cell-level investigation of spatial transcriptomics and histology.	stereo-seq-cell-type-mapping;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Join subcellular Visium HD bins into cells	
gpenglab/STcomm	https://github.com/gpenglab/STcomm	low_signal_or_unclear	S0369	10.1038/s41467-023-40155-7	Three-dimensional molecular architecture of mouse organogenesis.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs		R/rctd4weights.R
deepomicslab/SPIDER-paper	https://github.com/deepomicslab/SPIDER-paper	low_signal_or_unclear	S0383	10.1038/s41467-025-62988-0	Finding spatially variable ligand-receptor interactions with functional support from downstream genes.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		
