repo	source_url	classification	linked_papers	paper_dois	paper_titles	skill_names	description	reusable_files
deepomicslab/SPIDER-paper	https://github.com/deepomicslab/SPIDER-paper	low_signal_or_unclear	S0383	10.1038/s41467-025-62988-0	Finding spatially variable ligand-receptor interactions with functional support from downstream genes.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		
LieberInstitute/spatialDLPFC	https://github.com/LieberInstitute/spatialDLPFC	paper_analysis_code_candidate	S0395	10.1038/s41592-024-02463-8	Interpretable spatially aware dimension reduction of spatial transcriptomics with STAMP.	stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	spatialDLPFC project involving Visium (n = 30), Visium SPG (n = 4) and snRNA-seq (n = 19) samples	code/MFA/08_custom_heatmaps.R | code/MFA/08_custom_heatmaps.sh | code/VistoSeg/IF/clickPlot.m | code/VistoSeg/code/clickPlot.m | code/VistoSeg/code/refineSegmentation.m | code/VistoSeg/code/refineSegmentation.sh | code/analysis/01_build_spe/02_add_clusters.R | code/analysis/01_build_spe/03_add_deconvolution.R | code/analysis/01_build_spe/sfigu_harmony.R | code/analysis/01a_marker_genes/01_marker_genes.R | code/analysis/01a_marker_genes/01_marker_genes.sh | code/analysis/02_graph_based_clustering/01_graph_based_clustering.R | code/analysis/02_graph_based_clustering/01_graph_based_clustering.sh | code/analysis/03_BayesSpace/01_BayesSpace.R | code/analysis/03_BayesSpace/01_BayesSpace.sh | code/analysis/03_BayesSpace/01a_BayesSpace_k_16_28.sh | code/analysis/03_BayesSpace/02_cluster_check.R | code/analysis/03_BayesSpace/03_BayesSpace_big_plots.R | code/analysis/03_BayesSpace/03_BayesSpace_big_plots.sh | code/analysis/03_BayesSpace/04_BayesSpace_grid_plots.R
LieberInstitute/HumanPilot	https://github.com/LieberInstitute/HumanPilot	paper_analysis_code_candidate	S0421;S0438	10.1093/bib/bbaf316;10.1101/gr.280584.125	TriCLFF: a multi-modal feature fusion framework using contrastive learning for spatial domain identification.; Efficient integration of spatial omics data for joint domain detection, matching, and alignment with stMSA.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs;stereo-seq-cellbin-segmentation	Spatial Transcriptomics human DLPFC pilot study part of the spatialLIBD project	Analysis/Histology/code/segmentation.m | Analysis/Layer_Guesses/dlpfc_snRNAseq_annotation.R | Analysis/Layer_Guesses/layer_marker_genes_plots.R | Analysis/SpatialDE_clustering.Rmd | Analysis/SpatialDE_genes_analysis.Rmd | Analysis/SpatialDE_statistics.Rmd | Analysis/SpatialDE_subsampling_comparison.Rmd | Analysis/archive/SpatialDE_analyses/v1/Clustering_PCA_UMAP_marker_spatial_151673.Rmd | Analysis/archive/SpatialDE_analyses/v1/Comparison_SpatialDE_genes_151673.Rmd | Analysis/archive/SpatialDE_analyses/v2/Clustering_PCA_UMAP_SpatialDE_spatial.Rmd | Analysis/archive/SpatialDE_analyses/v2/Comparison_SpatialDE_genes_pooled.Rmd | Analysis/archive/SpatialDE_analyses/v3/SpatialDE_subsampling_comparison.Rmd | Analysis/check_clustering_layers.R | Analysis/check_clustering_layers_leo.R | Analysis/check_clustering_spots.R | Analysis/check_clustering_weighted.R | Analysis/collapse_clusters.R | Analysis/make_annotation_spreadsheet.R | Analysis/plot_spaceranger_kmeans.R | Analysis/sce_clustering_umap_spatial.R
QuKunLab/SpatialBenchmarking	https://github.com/QuKunLab/SpatialBenchmarking	paper_analysis_code_candidate	S0084;S0371;S0461	10.1038/s41467-023-36796-3;10.1038/s41467-023-43220-3;10.1371/journal.pcbi.1013354	Spatially informed clustering, integration, and deconvolution of spatial transcriptomics with GraphST.; SPACEL: deep learning-based characterization of spatial transcriptome architectures.; Improving cell-type composition inference in spatial transcriptomics with SpaDAMA.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs		BLAST_CelltypeDeconvolution.ipynb | Benchmarking/.ipynb_checkpoints/DeconvolutionSpot-checkpoint.py | Benchmarking/DeconvolutionSpot.py | Benchmarking/SpatialGenes.py | Codes/Deconvolution/Cell2location_pipeline.py | Codes/Deconvolution/DestVI_pipeline.py | Codes/Deconvolution/RCTD_pipeline.r | Codes/Deconvolution/SPOTlight_pipeline.r | Codes/Deconvolution/STRIDE_pipeline.sh | Codes/Deconvolution/Seurat_pipeline.r | Codes/Deconvolution/SpatialDWLS_pipeline.r | Codes/Deconvolution/Stereoscope_pipeline.py | Codes/Deconvolution/Tangram_pipeline.py | Codes/Impute/Seurat.r | Config.env.sh | FigureData/Figure2/RCodes/LIGER.r | FigureData/Figure2/RCodes/Seurat.r
wu-yc/scMetabolism	https://github.com/wu-yc/scMetabolism	method_tool_with_examples	S0053;S0071	10.1016/j.isci.2024.108941;10.1016/j.xcrm.2025.102140	Effects of flora deficiency on the structure and function of the large intestine.; Targeting mitochondrial complex I of CD177+ neutrophils alleviates lung ischemia-reperfusion injury.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	Quantifying metabolism activity at the single-cell resolution	R/compute_metabolism_Seurat.R | R/visualize_metabolism.R
CSOgroup/cellcharter	https://github.com/CSOgroup/cellcharter	paper_analysis_code_candidate	S0378	10.1038/s41467-024-55204-y	Cooperative integration of spatially resolved multi-omics data with COSMOS.	stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	A Python package for the identification, characterization and comparison of spatial clusters from spatial -omics data.	tests/plotting/test_group.py | tests/plotting/test_plot_nhood.py | tests/plotting/test_plot_stability.py | tests/plotting/test_shape.py
PaulingLiu/ROGUE	https://github.com/PaulingLiu/ROGUE	method_tool_with_examples	S0426	10.1093/bioinformatics/btae466	Single-cell and spatial multiomic inference of gene regulatory networks using SCRIPro.	stereo-seq-3d-reconstruction;stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-grn-regulon;stereo-seq-spatial-programs	Assessing the purity of single cell population	scripts/Clustering.evaluation.Rmd | scripts/Cross.validation.visualization.R
wenwenmin/SpaCross	https://github.com/wenwenmin/SpaCross	paper_analysis_code_candidate	S0403	10.1038/s42003-025-08810-5	SpaCross deciphers spatial structures and corrects batch effects in multi-slice spatially resolved transcriptomics.	stereo-seq-3d-reconstruction;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	[Communications Biology 2025 (under Nature Portfolio)] SpaCross is a comprehensive analytical framework designed for spatial transcriptomics data, aiming to enhance the accuracy of spatial pattern recognition and cross-slice consistency.	Benchmark/DiffusionST-main/visual.py | Benchmark/DiffusionST-main/visual_high.py | Benchmark/SEDR-master/SEDR/clustering_func.py | Benchmark/SEDR-master/docs/Tutorial1_Clustering.ipynb | Benchmark/SPACEL-main/SPACEL/Scube/alignment.py | Benchmark/SPACEL-main/SPACEL/Scube/plot.py | Benchmark/SPACEL-main/SPACEL/Scube/utils_3d.py | Benchmark/SPACEL-main/SPACEL/Spoint/spatial_simulation.py | Benchmark/SPIRAL-main/Process/Spatial_Net.py | Benchmark/SPIRAL-main/spiral/CoordAlignment.py | Benchmark/STAligner-master/STAligner/STALIGNER.py | Benchmark/STAligner-master/STAligner/ST_utils.py | Benchmark/STAligner-master/STAligner/__init__.py | Benchmark/STAligner-master/STAligner/gat_conv.py | Benchmark/STAligner-master/STAligner/mnn_utils.py | Benchmark/STAligner-master/STAligner/train_STAligner.py | Benchmark/STAligner-master/Tutorials/Tutorial_DLPFC_12S.ipynb | Benchmark/STAligner-master/Tutorials/Tutorial_embryo.ipynb | Benchmark/STAligner-master/__init__.py | Benchmark/STAligner-master/setup.py
SunXQlab/PearlST-Code	https://github.com/SunXQlab/PearlST-Code	paper_analysis_code_candidate	S0465	10.34133/research.0390	Dissecting Spatiotemporal Structures in Spatial Transcriptomics via Diffusion-Based Adversarial Learning.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery	The source code of PearlST for reproducing analysis results in the paper	Fig. 2/Fig. 2 DLPFC 151671 low-dimensional visualizations and pSMs.py | Fig. 2/Fig.2 DLPFC 151671 plot.py | Fig. 3/Fig. 3 STARmap plot.py | Fig. 4/Fig. 4 Stereoseq mouse embyro plot.py | Fig. 4/Fig. 4 Stereoseq mouse olfactory bulb tissue plot  .py | Fig. 5/Fig. 5 Slide-seqV2 mouse hippacompus plot .py | Fig. 5/Fig. 5 Slideseq-V2 mouse olfactory bulb plot.py | Fig. 6/Fig. 6 Human breast cancer plot.py | Supplementary Fig. S1/DLPFC 151507 plot.py | Supplementary Fig. S1/DLPFC 151508 plot.py | Supplementary Fig. S1/DLPFC 151509 plot.py | Supplementary Fig. S1/DLPFC 151510 plot.py | Supplementary Fig. S10, S11/Fig. S10 S11 plot.py | Supplementary Fig. S12, S13/CCI circle plot.R | Supplementary Fig. S12, S13/Fig. S12 plot.py | Supplementary Fig. S12, S13/Fig. S13.R | Supplementary Fig. S2/DLPFC 1511672 plot.py | Supplementary Fig. S2/DLPFC 151669 plot.py | Supplementary Fig. S2/DLPFC 151670 plot.py | Supplementary Fig. S3/plot domains_151673.py
ZJUFanLab/scSpace	https://github.com/ZJUFanLab/scSpace	paper_analysis_code_candidate	S0345	10.1002/advs.202403572	Spatially Informed Graph Structure Learning Extracts Insights from Spatial Transcriptomics.	stereo-seq-cell-cell-interaction;stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-cell-type-interpretation;stereo-seq-spatial-communication;stereo-seq-spatial-domain-discovery;stereo-seq-spatial-programs	an integrative algorithm to distinguish spatially variable cell subclusters by reconstructing cells onto a pseudo space with spatial transcriptome references	AnalysisPaper/figures/figure1.Rmd | AnalysisPaper/figures/figure2.Rmd | AnalysisPaper/figures/figure3.Rmd | AnalysisPaper/figures/figure4.Rmd | AnalysisPaper/figures/figure5.Rmd | AnalysisPaper/figures/figure6.Rmd | AnalysisPaper/scripts/figure1/BayesSpace_DRSC_simulation.R | AnalysisPaper/scripts/figure1/SpaGCN_STAGATE_simulation.ipynb | AnalysisPaper/scripts/figure1/scCoGAPS_simulation.ipynb | AnalysisPaper/scripts/figure1/scSpace_simulation.ipynb | AnalysisPaper/scripts/figure2/DLPFC_aggregate.R | AnalysisPaper/scripts/figure2/DLPFC_validate.ipynb | AnalysisPaper/scripts/figure2/STARmap.ipynb | AnalysisPaper/scripts/figure3/human_heart.ipynb | AnalysisPaper/scripts/figure3/human_heart_spatial_informed_clustering.R | AnalysisPaper/scripts/figure4/hodge.ipynb | AnalysisPaper/scripts/figure5/melanoma.ipynb | AnalysisPaper/scripts/figure5/melanoma_validation.ipynb | AnalysisPaper/scripts/figure6/COVID19.ipynb | AnalysisPaper/scripts/figure6/MDM_spatial_informed_clustering.R
romain-lopez/DestVI-reproducibility	https://github.com/romain-lopez/DestVI-reproducibility	paper_analysis_code_candidate	S0461	10.1371/journal.pcbi.1013354	Improving cell-type composition inference in spatial transcriptomics with SpaDAMA.	stereo-seq-cell-type-mapping;stereo-seq-developmental-trajectory;stereo-seq-publication-plotting;stereo-seq-quality-control-preprocessing;stereo-seq-spatial-domain-discovery	Reproducing the experiments of the DestVI paper	lymph_node/deconvolution/DestVI-LN.ipynb | lymph_node/deconvolution/utils.py | lymph_node/nova/Step1: annotation nova-seq run with totalVI data.ipynb | lymph_node/nova/Step2: annotation curation and filtering for our nova data.ipynb | lymph_node/nova/Step3: further clustering.ipynb | lymph_node/spatial/Step 4:joint_analysis.ipynb | simulations/run_RCTD.R | simulations/run_Seurat.R | simulations/run_algo_follow_up.sh | simulations/run_algo_simulations.sh | simulations/run_cell2location.py | simulations/run_stereoscope.py | simulations/spatial_prior/destvi_spatial/__init__.py | simulations/spatial_prior/destvi_spatial/_model.py | simulations/spatial_prior/destvi_spatial/_module.py | simulations/spatial_prior/spatial_prior.ipynb | tumor/deconvolution/DestVI-Tumor.ipynb | tumor/spatial/step2:spatial-preprocessing.ipynb
